protein	D1	D2
3424|0	-8.498756	12.605696
5144|0	-9.933894	-8.400291
1713|0	14.191687	-21.886854
3721|0	-8.485602	-30.624108
5169|0	-5.887863	-23.670363
1908|0	14.563643	-17.267798
3559|0	-30.075020	-18.901603
3609|0	20.141158	-17.934031
1705|0	12.429764	-28.691103
4868|0	-27.647881	-8.718054
4895|0	-10.467731	-50.582293
3137|0	21.259055	-44.782360
4219|0	6.105131	-15.892154
2954|0	-14.271243	-31.082955
4130|0	-32.999538	-53.918337
4529|0	-22.214677	-5.312123
744|0	24.492790	-18.460229
4104|0	-46.596417	-30.497946
3282|0	2.193727	35.714812
2384|0	7.220128	-23.785551
4560|0	5.796995	-10.356399
1113|0	21.069795	-5.358116
5066|0	-30.937349	-24.822989
4466|0	5.216701	-11.380237
4507|0	3.028233	-16.341551
2640|0	-5.533518	-15.641508
1497|0	36.610746	16.575414
3856|0	-11.968720	-25.066488
774|0	-21.599838	-19.419757
1018|0	-6.031059	-16.954826
4932|0	-7.403501	-37.478343
1653|0	19.071191	-38.535038
1099|0	-11.345205	4.392809
3414|0	-15.670427	-55.108634
4821|0	-4.891200	68.346547
3949|0	-18.851214	-56.489156
2784|0	-9.050299	6.219163
4476|0	-8.357879	4.575749
5236|0	-9.672621	-31.005379
4582|0	13.406696	-24.917361
3548|0	-0.433452	-11.610849
3149|0	23.600811	-19.356101
1796|0	-24.892775	-53.298572
883|0	-2.987822	-18.515413
4792|0	1.356726	-43.548025
2264|0	14.971084	-44.408444
1236|0	-24.240304	-16.316121
3033|0	-7.949635	-25.962516
3632|0	-7.942791	4.320870
3912|0	7.556922	29.255777
972|0	9.841195	-14.874951
2119|0	-35.952644	-40.233598
3781|0	-37.460249	-31.588549
3385|0	-11.420903	-20.170323
4533|0	-10.179475	-13.186472
2999|0	14.924963	-45.931753
2770|0	30.498245	8.106332
2682|0	8.804309	3.578182
2564|0	-22.246092	-11.821595
3573|0	-10.993895	1.450284
2033|0	11.799755	-26.985440
2189|0	16.543257	-28.955124
2886|0	-9.936702	0.798052
1615|0	0.041645	14.524595
4103|0	7.751855	-10.252055
813|0	-17.947074	-9.473468
5277|0	32.091307	21.846735
3416|0	7.891306	-26.513336
4662|0	4.663755	-50.240948
2571|0	17.013933	-32.424335
1892|0	-18.132873	-5.146518
1993|0	-18.365392	-19.085591
892|0	8.414922	-37.739187
970|0	29.484295	12.608491
2899|0	10.300390	13.236767
4053|0	38.698578	16.111333
1861|0	7.655341	0.237380
1548|0	2.907015	17.771195
1974|0	-11.544166	-21.756122
829|0	-38.138541	-44.081817
4989|0	-9.274524	11.989578
2104|0	-2.289809	-26.614939
3001|0	-13.967329	-50.422913
3054|0	17.272357	-26.892013
2347|0	-16.655277	-45.069286
4513|0	-0.530824	37.122743
3299|0	3.806107	33.371084
3449|0	-8.331404	-15.050912
2404|0	7.415749	-48.643848
1259|0	9.479859	24.911163
3110|0	38.605590	28.989603
2045|0	7.153445	-37.129781
2718|0	-1.587542	5.183765
2808|0	3.052466	-9.929602
4153|0	4.431578	-19.446597
1963|0	13.787704	3.474208
1587|0	1.666195	32.653551
5068|0	-24.257463	-51.547462
3917|0	-9.904860	-15.724088
4571|0	-18.506555	-49.851723
2245|0	18.002896	-41.086908
2229|0	-15.670094	-7.230823
1167|0	-10.169313	-60.284924
2731|0	1.369832	-16.540929
1581|0	10.257782	-32.840401
3389|0	-19.101673	-29.365603
4660|0	-20.130699	-26.208040
5154|0	2.961198	17.763429
2509|0	-0.139599	33.080310
4583|0	-31.789800	-51.106187
1073|0	-9.640931	-0.576729
3846|0	30.848698	35.743720
2857|0	-16.908037	-27.398410
3557|0	4.562885	20.947824
2566|0	28.887148	-10.909912
1802|0	-2.282388	-20.611712
2388|0	-16.307372	-20.727582
5030|0	16.630943	-13.958139
5013|0	6.004596	-26.795732
1216|0	-5.826316	-25.894300
3823|0	-23.128348	-1.340489
1896|0	31.516000	-18.107981
4699|0	-1.091227	12.935582
2372|0	-35.901119	-46.788451
1415|0	-4.980757	35.588431
4819|0	4.532919	-22.630429
4402|0	11.114350	-20.582042
2467|0	43.044618	48.635799
2663|0	27.817811	-25.374647
4836|0	-18.425152	-12.878665
3061|0	-13.315941	-19.702924
853|0	-16.445607	-21.857841
4913|0	34.153332	18.961442
833|0	33.772661	15.256767
3380|0	5.728029	-31.229710
4920|0	-3.431499	-47.603600
1101|0	9.112679	21.553669
3172|0	-5.603904	0.600587
2925|0	12.429560	-27.609846
740|0	-23.370812	-52.691537
3447|0	-36.883462	-39.767484
2040|0	-0.532395	-16.967874
4467|0	1.522234	37.850458
2332|0	15.828047	-28.030202
2053|0	5.850481	29.023929
947|0	-14.775842	-24.124898
5044|0	12.609461	-12.020571
3703|0	10.061913	12.251455
2227|0	-2.061259	6.179269
790|0	34.014573	7.051626
4427|0	5.917367	-49.100634
1880|0	-13.812974	-23.677046
5082|0	-23.287697	-45.147105
1173|0	11.563538	-3.591065
1888|0	43.634163	47.007562
2195|0	-5.906347	5.392536
915|0	-26.898951	-14.822740
4748|0	15.420936	-42.875075
3813|0	15.127187	10.538777
1552|0	-3.775958	-4.623789
2854|0	2.234757	11.699526
3792|0	1.779637	-18.975984
1831|0	8.848095	24.155570
4343|0	-18.785878	-36.956441
3242|0	-19.072471	-22.574890
1907|0	8.627910	-10.561848
3574|0	-14.049120	-38.369093
4896|0	25.735134	-14.629469
3312|0	-27.036173	-52.842007
930|0	3.320313	-1.277945
4358|0	-16.790654	6.751633
2585|0	23.777128	4.376260
2514|0	19.711879	-11.633304
5178|0	-15.316204	-35.672175
3532|0	-18.731563	-38.592898
1412|0	11.266055	-23.997590
1155|0	-22.820313	-17.421649
5307|0	-14.352485	-8.580152
1541|0	-5.385082	-70.134000
1607|0	-3.768820	-0.462795
3818|0	-22.086967	-3.625982
4805|0	21.650085	-11.868477
4909|0	-21.849336	1.241461
4921|0	-11.244783	-4.854046
2625|0	-20.742875	-60.381870
4559|0	-8.946683	-22.843884
4514|0	29.291955	-18.247080
1125|0	26.305200	-36.960593
3806|0	-14.679376	-13.161280
1699|0	-17.515411	8.290329
1071|0	-0.401536	-33.536402
4741|0	-9.301976	-27.433017
950|0	50.973579	-2.348913
3705|0	9.360733	-20.195758
1019|0	4.352705	1.496544
5157|0	-10.700668	-10.175430
4671|0	-0.695066	-45.806303
2847|0	-21.130827	1.971359
4378|0	8.539947	-25.797468
879|0	38.843331	6.219170
1194|0	-4.070279	15.881972
5103|0	-16.293921	-13.992966
1673|0	-3.017373	-14.153211
863|0	1.220860	-7.148793
2337|0	-14.288615	-48.577105
4004|0	20.296016	-15.884444
2760|0	8.222639	-6.295355
3673|0	-6.426043	8.577175
1643|0	-2.076552	-10.314049
2481|0	-38.747170	-42.854742
2846|0	-2.967066	-6.627880
1833|0	19.145590	9.507734
940|0	-30.305692	-54.215648
5162|0	-20.329548	-38.824080
4047|0	-0.179894	-22.353185
3775|0	-30.530444	-24.988408
1637|0	3.616266	-42.539702
4687|0	-13.132210	-72.055729
4132|0	3.809578	-20.604292
1811|0	-34.190276	77.623286
1728|0	-21.675146	-2.927010
3504|0	-16.559740	18.123951
2339|0	16.757865	-20.817411
2927|0	-13.960780	-27.310324
3881|0	-6.684888	-33.987756
3144|0	-26.952978	-55.716797
5274|0	-4.775224	-7.969094
1282|0	-26.038790	-42.313404
4303|0	7.359085	1.493060
3134|0	-22.347850	-22.497739
1556|0	-5.023375	35.519330
2725|0	26.526481	-36.223476
4904|0	7.564214	23.936260
1121|0	-7.021569	-3.873210
4955|0	-1.755686	-40.155546
1416|0	-28.373710	-10.084478
4031|0	-3.720239	-32.079381
2721|0	-1.622977	-18.674264
1814|0	-31.800600	-51.071542
1289|0	8.469044	-24.109794
2867|0	10.849736	-9.071761
2331|0	-4.142456	38.435970
3590|0	32.693979	-6.876631
3372|0	-0.223015	-14.915427
2271|0	1.610053	-6.626753
3074|0	-17.200577	-23.738990
2341|0	0.879640	-22.022270
4316|0	21.321382	-24.024262
5135|0	-16.632447	-13.221458
3893|0	-7.242443	-35.196256
2124|0	8.728037	31.982286
1285|0	2.383701	-18.127179
2758|0	-5.194931	-36.458566
3247|0	10.998502	14.561257
3615|0	6.556485	-16.964050
3458|0	23.978622	-43.727906
1408|0	8.901047	17.192652
3285|0	4.952435	-31.814854
5234|0	-1.285152	-34.370315
760|0	-14.883074	-22.265723
3158|0	-22.664806	0.149721
1743|0	-6.348638	8.770567
3853|0	-6.710980	-35.490959
3268|0	-6.646305	-58.023820
4383|0	3.089080	31.074377
3990|0	32.713359	-6.852083
3732|0	25.847748	-12.209934
3219|0	22.457577	-2.831722
3528|0	-4.937755	-37.459115
3266|0	14.719363	-15.799586
1901|0	-19.355642	-60.222211
4578|0	-11.760408	-1.019734
3768|0	-21.929297	-10.365580
924|0	-17.074580	7.374242
4778|0	0.795500	-11.014909
2128|0	4.774547	-7.444701
1384|0	-12.449744	-16.223927
2120|0	33.730210	16.963797
3914|0	-18.248877	-57.649699
4607|0	-4.202658	14.477906
5123|0	13.770998	-23.118263
4206|0	-25.355523	-17.708966
2399|0	-27.578220	-54.574808
3829|0	-14.664446	9.608969
4874|0	10.314767	-32.201780
1405|0	6.396035	-49.450454
1577|0	-28.684571	-10.671759
3742|0	5.907092	-10.081030
5020|0	2.083049	-13.460039
2241|0	27.936706	-15.144627
2968|0	5.598448	-69.319810
4438|0	23.334619	-21.250887
4069|0	9.534243	16.306977
4155|0	-18.632312	-55.312349
4442|0	-9.365520	-69.045674
3278|0	-7.867051	-58.820275
3578|0	-11.153885	-5.045403
5302|0	-21.188821	-30.983301
4633|0	-7.192597	-68.297256
1063|0	-23.278463	-45.158887
3221|0	-17.280015	-14.403270
4156|0	-18.491505	-21.721021
1513|0	43.713890	47.879477
2794|0	24.208700	-15.957063
2391|0	-13.117228	-14.608705
2313|0	-23.920053	-24.021687
1396|0	2.364165	-64.853590
4595|0	-4.959274	0.259426
1524|0	21.666288	-9.471839
1568|0	10.930897	-17.266492
3807|0	-17.361612	-11.118343
2269|0	14.718491	19.217559
2280|0	7.029902	-6.757186
3317|0	-31.940972	-24.486706
2681|0	2.860363	-25.837403
4369|0	30.570021	4.115159
4082|0	-17.440291	-0.821031
4743|0	14.343893	-42.275358
4981|0	30.187694	-1.855159
2521|0	-1.011039	-26.091713
4796|0	-24.132584	-54.413141
2743|0	-18.665431	3.930176
4593|0	12.490826	-42.915720
1354|0	2.498963	-13.250437
2275|0	24.294680	-17.587704
4622|0	16.364630	-21.229276
1843|0	-29.221313	-54.984561
3410|0	-20.473517	-23.081784
1779|0	20.545366	-23.815031
1719|0	-5.805480	-17.533391
1782|0	35.383976	13.604752
2259|0	-11.111294	-41.014217
2123|0	-2.302516	7.114970
2273|0	30.690793	18.197006
4984|0	-15.839456	-58.283833
2799|0	-22.483339	-30.145036
5288|0	-2.455873	69.572029
1323|0	-14.585787	-30.921412
2767|0	-26.003638	-42.371538
3104|0	6.351818	-7.033973
2202|0	-25.243896	-65.377192
4754|0	11.619862	-42.635432
2730|0	-27.667774	-51.073609
1296|0	8.207910	-48.495296
1404|0	3.337104	-35.289097
3811|0	-17.309033	-15.723954
2752|0	-43.444604	-27.094520
2201|0	29.568416	15.060785
4066|0	22.601958	-8.606207
4859|0	-11.006867	-22.293140
2764|0	-1.434454	-46.890732
4802|0	22.729331	3.816206
1706|0	-8.179115	-44.332278
4387|0	21.642639	21.256543
3873|0	19.428848	23.479200
4109|0	-29.771211	-53.945761
4706|0	6.071784	-36.398989
4086|0	-8.307084	-45.901345
3642|0	-1.946291	-42.081598
2759|0	-5.104321	-70.301127
4923|0	17.324649	-18.384691
2454|0	-14.511288	-13.032669
1696|0	-17.314005	-2.046791
1242|0	-14.212923	-2.476302
2740|0	-10.357783	-26.628462
3038|0	-1.861819	-70.215186
909|0	-0.699094	13.429910
4731|0	-4.997074	-3.086080
2543|0	-15.324428	-6.652634
1949|0	-2.468013	-32.208866
1223|0	-13.738399	4.782583
2508|0	1.507007	-29.547041
841|0	-29.895634	-16.101045
1029|0	-45.462762	-32.197990
1562|0	45.455347	-4.640582
3835|0	-18.876038	-25.695277
2822|0	-8.698107	-15.020358
3023|0	21.161168	-10.400670
2788|0	18.615763	10.609895
4265|0	1.242477	11.360918
2959|0	41.105938	18.556453
5034|0	0.627206	-8.442723
4515|0	-13.111061	10.211861
4986|0	27.558315	36.514359
2492|0	-8.906287	-61.145797
2181|0	19.993770	-20.480292
1021|0	10.928707	-48.416905
3751|0	12.252942	15.093231
3583|0	21.796579	-30.816438
1614|0	25.711474	-38.427831
5131|0	-2.837901	-9.710343
982|0	27.223921	16.614900
869|0	-39.434957	-23.201122
5031|0	37.023090	43.358329
2276|0	1.424253	-37.337970
4110|0	11.325020	16.995987
2706|0	-4.653808	-27.552228
5286|0	-19.613315	-63.236940
5170|0	49.367479	42.644818
2065|0	-2.781232	-22.440448
1724|0	-3.468356	5.016065
1931|0	-5.098892	-24.823329
4643|0	7.365381	-27.838386
3215|0	-14.095325	-57.866216
4591|0	-10.810659	-23.447380
3942|0	-20.978197	-39.390806
1258|0	2.436518	-63.170515
1640|0	1.995455	-29.533966
4024|0	-18.239257	-25.897926
4839|0	-9.998864	-58.785004
5242|0	9.460573	20.587954
2627|0	0.353859	-15.894526
2386|0	16.706854	-34.749717
1600|0	-7.037056	-10.381557
4929|0	8.713279	0.900952
2853|0	-8.304017	-36.024534
2809|0	-12.966176	-32.402621
1122|0	-32.168677	-17.771495
1362|0	6.165429	36.415042
5143|0	-13.583305	-69.151026
2019|0	10.689215	22.661315
2972|0	-14.899086	-25.625135
5191|0	-20.295438	-57.755913
3637|0	-17.395935	-52.095337
1914|0	23.969132	-43.694488
1757|0	-18.742797	-46.393153
3182|0	2.523265	-34.951677
2147|0	6.009309	21.211911
3691|0	-9.072553	-29.073285
4794|0	34.109723	7.074970
3286|0	-39.255089	-51.008656
3429|0	-15.033928	1.282946
3926|0	-39.761199	-45.280085
436|1	-15.817419	81.613167
18|1	26.179497	3.831524
249|1	-19.712088	85.362495
353|1	10.852347	4.999551
551|1	-9.853463	-56.896189
52|1	42.914328	57.144140
298|1	-20.948938	87.635965
41|1	35.396910	46.977707
354|1	8.972525	54.508045
655|1	-16.768496	87.688681
493|1	-19.304522	-57.583885
113|1	36.713998	32.286885
680|1	35.028449	49.094720
144|1	0.060303	-49.738130
666|1	-17.933677	79.304991
230|1	39.224924	8.529395
595|1	23.248207	11.512569
366|1	36.244072	60.430576
212|1	34.768780	56.323256
637|1	-9.247013	-36.743006
413|1	-24.624680	87.908129
597|1	-17.542059	70.703502
546|1	18.200934	28.384351
610|1	37.459163	54.404631
121|1	35.160767	62.612172
115|1	26.656227	-35.807150
692|1	-16.095331	70.648797
673|1	-16.565476	69.705987
410|1	-14.991169	67.919008
481|1	17.547889	27.026812
407|1	48.584097	-4.461337
220|1	25.573352	38.678362
189|1	-41.108182	-49.520882
536|1	-5.645127	28.753220
88|1	34.599899	53.425308
86|1	-54.180937	-26.843490
469|1	14.526179	-65.726807
653|1	-32.335868	5.409168
85|1	-26.788645	19.109047
598|1	-4.252177	42.186547
147|1	-45.292853	2.972868
50|1	-16.102146	80.166230
630|1	-12.230488	-54.546343
203|1	18.578344	27.181044
93|1	18.606131	43.664563
672|1	10.717818	-13.823796
259|1	-29.644084	86.427516
724|1	42.898775	9.771608
650|1	-24.142720	9.318921
519|1	-19.310923	73.692834
508|1	-25.758974	18.656550
574|1	-36.445902	60.978566
587|1	29.869993	40.883913
562|1	-3.279742	70.585210
514|1	-15.683207	68.822628
71|1	-45.734140	-37.749503
575|1	33.828114	32.656597
328|1	-13.950226	82.093356
199|1	9.686458	11.102585
59|1	26.375418	17.160611
474|1	-25.150448	74.085684
435|1	4.813538	33.095068
533|1	15.502651	28.549233
21|1	-15.277692	70.181065
557|1	22.057832	37.296074
257|1	38.170414	55.963724
499|1	-3.767247	70.101355
404|1	-17.577226	87.090310
79|1	-8.705477	-9.224043
150|1	-4.222283	-3.594204
721|1	30.840876	16.248106
109|1	-2.522486	37.588904
273|1	12.171852	2.743837
218|1	51.052121	22.751302
157|1	3.225056	-67.828099
720|1	16.693950	-8.984124
171|1	-20.120450	78.455690
431|1	6.774872	2.447531
244|1	-10.363446	-69.171655
197|1	25.664235	30.652131
628|1	47.997254	-0.776479
607|1	10.754593	56.429659
524|1	38.650505	0.647892
427|1	-11.615336	-52.372878
351|1	-12.552838	-67.234879
418|1	44.528347	43.696110
675|1	-16.882307	71.631361
577|1	-0.357694	-69.063212
669|1	10.966221	50.043083
543|1	-24.924633	9.284764
490|1	25.992066	31.642253
521|1	20.738208	28.025082
670|1	38.195336	52.350096
409|1	-23.798910	72.938835
584|1	9.520992	55.493899
130|1	-18.678202	77.735273
306|1	-32.430112	87.028260
484|1	-52.959781	-26.797999
368|1	14.594051	42.388956
34|1	-23.443986	-57.583241
269|1	28.896537	9.649711
19|1	23.179017	2.335592
207|1	12.381046	-67.163548
302|1	-43.586505	2.138946
693|1	-0.647005	55.664883
634|1	-21.169923	17.993233
303|1	-26.479473	78.844748
39|1	14.432791	12.106327
76|1	-37.021668	58.476367
603|1	21.584122	-18.790920
192|1	46.575916	43.543930
622|1	44.218287	27.601591
315|1	-9.632746	26.281793
205|1	2.297750	31.398861
369|1	-34.214829	-16.927028
94|1	4.388232	56.901643
118|1	10.400153	2.928979
671|1	-31.751794	3.099390
183|1	12.761049	49.656181
425|1	-16.475565	74.070598
146|1	30.088109	-16.860147
319|1	18.934866	32.133027
110|1	-21.815388	76.863860
604|1	11.037133	47.807606
253|1	24.727023	1.630055
201|1	22.975067	5.478107
698|1	-14.791872	83.611863
90|1	34.286307	47.974066
651|1	17.709289	1.896107
378|1	-15.421746	-69.513767
196|1	2.221768	57.382148
585|1	8.990871	26.856916
629|1	15.090700	-65.297468
308|1	11.349705	50.174420
625|1	-42.601581	-41.344620
620|1	-37.589712	-19.303586
142|1	37.087289	56.518815
338|1	-28.198545	80.089964
35|1	36.444214	54.338348
537|1	35.649860	61.839383
335|1	34.640857	47.675904
422|1	-3.011658	16.845289
329|1	-35.519495	59.475694
295|1	-16.347544	-71.779053
159|1	19.135367	25.202198
690|1	26.723307	-32.376810
665|1	27.597085	2.601511
613|1	-15.154486	83.443627
160|1	42.951135	57.155706
643|1	29.792318	33.332192
255|1	-27.043643	-7.448945
24|1	10.941643	2.437455
301|1	7.759450	47.588556
182|1	3.673239	55.855305
1|1	39.445302	52.302277
534|1	5.655059	2.197189
167|1	11.323251	53.957463
727|1	43.019269	43.330097
429|1	-51.528714	-26.163672
347|1	26.764441	-27.646940
87|1	-25.012487	76.764170
200|1	-4.901161	-61.549708
279|1	-35.407918	61.492730
730|1	12.604116	19.274406
722|1	-23.611453	18.016549
137|1	-31.676094	2.880944
284|1	-15.654513	-36.880497
264|1	33.782798	32.727876
211|1	10.097510	48.699101
711|1	-43.615801	3.112127
293|1	-8.264927	-9.283054
30|1	-1.616280	32.072768
177|1	-39.944784	-41.230843
263|1	23.375484	1.920050
185|1	26.891788	-5.299272
570|1	17.907144	12.385784
532|1	11.385479	54.225679
448|1	-13.010968	-53.173041
688|1	-2.453616	17.819207
554|1	-20.742727	84.240337
242|1	-44.379690	1.610777
566|1	-9.597710	-69.862855
138|1	30.831794	14.697975
32|1	0.709309	-68.715096
377|1	50.839300	17.377805
61|1	38.665849	30.968324
80|1	13.779311	-66.289171
482|1	43.685963	22.813305
337|1	0.415902	-66.790967
719|1	45.578666	44.314007
623|1	-44.172022	-29.747741
7|1	-41.017646	-44.242983
642|1	38.581513	32.330598
511|1	41.719376	9.257349
694|1	36.891485	30.628525
388|1	8.784192	14.983552
48|1	-23.183233	77.429211
715|1	44.162405	25.102477
496|1	18.673824	29.068277
365|1	3.050009	-68.921695
712|1	11.513563	-67.264230
170|1	-19.546603	79.008514
616|1	24.320394	38.779860
681|1	-34.392350	-40.250327
457|1	25.852474	36.931000
28|1	-9.825233	-59.307278
44|1	-52.479617	-26.106394
495|1	-22.984161	75.086746
658|1	-43.786494	-40.095193
67|1	-1.529387	70.728350
70|1	-14.646149	71.946161
505|1	-19.456616	77.317064
326|1	-17.408494	76.660567
473|1	-9.932781	-65.060018
344|1	50.548249	16.806365
713|1	-5.712694	-61.349710
72|1	6.964877	17.977789
408|1	-31.517703	-55.445978
392|1	-7.622723	27.965122
438|1	-25.416183	-30.801622
433|1	-1.717913	55.228936
290|1	-24.782902	82.443136
558|1	-44.508599	3.532869
467|1	-29.858789	79.705442
468|1	-22.157529	88.145528
43|1	15.361856	1.418411
488|1	-14.502763	-72.240223
729|1	-18.837018	71.539067
117|1	38.225197	33.439375
617|1	-9.616862	-17.084650
281|1	18.520716	43.642400
106|1	-25.222991	9.922307
437|1	11.351017	48.872544
231|1	36.341429	14.621934
450|1	-11.749388	-63.232567
362|1	11.544452	3.157035
155|1	-15.630047	-70.651186
430|1	28.373643	-15.629171
583|1	38.409339	54.599506
518|1	-23.804846	74.285525
96|1	-8.237149	27.434009
225|1	46.807959	44.384723
402|1	50.198854	-2.636545
214|1	17.899887	11.961288
325|1	-20.039645	8.665018
498|1	21.971225	28.063594
36|1	-34.183288	-40.293601
691|1	13.088502	-66.751623
545|1	-2.402092	-47.175436
419|1	-20.403991	18.123040
559|1	-12.437546	10.552674
314|1	-23.980761	81.702103
313|1	29.050746	1.760996
612|1	-26.884951	83.888615
104|1	-29.078880	2.125434
510|1	-45.752528	-31.223390
455|1	22.782630	-4.209485
221|1	-12.152302	-10.981999
62|1	-14.180406	-70.825196
456|1	43.913945	23.980426
547|1	-36.387000	-18.500916
544|1	39.163490	1.131333
355|1	26.935591	-34.091268
375|1	26.873619	-26.674117
440|1	26.780394	36.600901
624|1	44.327220	22.108050
222|1	29.054732	52.153471
107|1	-21.458818	17.956729
81|1	-15.863986	78.553546
291|1	-39.176485	19.918091
114|1	17.805183	30.280677
163|1	-27.802117	82.391095
560|1	16.322780	29.679617
247|1	-53.957146	-28.295018
400|1	-34.150332	77.644518
452|1	37.146892	53.172780
443|1	-46.597461	-28.779307
270|1	-17.867319	-45.649561
478|1	37.604344	42.654000
84|1	-9.846457	24.675026
184|1	-8.491434	26.627547
594|1	29.845319	40.939513
689|1	19.262696	-41.282643
105|1	1.860561	-71.423510
470|1	-33.649210	87.113882
245|1	36.009719	55.692793
23|1	-53.462406	-24.755727
190|1	26.816043	1.496656
556|1	-28.722929	-59.652391
664|1	-40.892683	-42.735586
135|1	-32.676041	88.429227
123|1	-20.822797	88.615993
561|1	10.223452	5.753705
158|1	21.814833	37.785285
502|1	44.359772	44.465454
646|1	4.167986	55.723328
262|1	43.290017	19.929449
541|1	28.105912	31.427285
578|1	-29.295361	79.111528
120|1	22.324069	-42.956412
445|1	-10.170275	-66.476164
517|1	-25.062589	8.575061
278|1	15.504463	48.790457
29|1	-39.227454	-10.636459
299|1	2.151382	-5.532008
13|1	37.763936	31.277329
676|1	-33.166996	-55.294925
394|1	29.229244	2.406020
316|1	21.260268	30.337631
229|1	12.156044	-67.840671
662|1	9.999405	54.067087
475|1	-31.165780	86.251686
599|1	13.526566	41.358669
379|1	13.582287	41.402786
12|1	-17.060154	1.574413
210|1	35.523849	62.704690
243|1	-19.263936	-6.819162
416|1	-44.426711	2.580674
148|1	1.888551	-69.272296
516|1	4.565153	31.084412
513|1	44.783202	22.927069
38|1	-23.042402	90.727765
251|1	25.886291	18.212234
287|1	-28.065793	78.572297
271|1	19.303563	-3.841832
661|1	19.904404	29.766392
572|1	-9.336659	-1.274977
504|1	44.580014	26.930560
154|1	-11.597644	-65.059409
696|1	12.071512	58.288352
4|1	27.928988	10.359572
246|1	-2.273078	70.667250
367|1	14.467772	49.670726
40|1	37.751053	30.255884
195|1	42.728794	20.109694
128|1	19.710959	27.284114
42|1	29.109575	-12.221678
33|1	-0.954821	-0.598036
2|1	-20.928267	82.744040
65|1	-33.983370	-17.095896
414|1	25.542617	39.863397
283|1	29.351626	36.576957
668|1	36.121321	48.427888
342|1	-11.452029	-69.870045
621|1	30.134526	-17.171714
687|1	-35.623430	60.391933
396|1	38.768373	1.553337
703|1	-53.570572	-25.641584
66|1	-32.134981	88.113389
633|1	-54.918206	-24.288592
233|1	40.958615	-31.020258
726|1	-5.720457	-54.226326
674|1	37.048465	55.560055
376|1	39.215197	53.305447
626|1	35.976944	53.099841
735|1	14.622495	-6.536701
333|1	-39.887011	-10.215992
576|1	36.932878	49.082778
449|1	-45.912467	-30.632784
596|1	-39.227533	-10.636552
153|1	26.134302	4.767605
9|1	32.237570	15.746316
219|1	47.824294	43.951190
381|1	-10.369745	-62.536850
397|1	-34.643609	59.770181
294|1	-39.832796	-43.401506
216|1	23.802444	-41.951742
89|1	45.616061	27.918098
393|1	-8.609336	25.362114
277|1	-16.776466	-68.392005
